ad_id,total_area,ceiling_height,room_count,room_isolate,room_adjacent,room_both_variant,metro_time_minutes,transport_walk,transport_car,metro_station_encoded,flat,flat_all,type_bilding,parking_num,price_rent,deposit,prepayment_cnt_mon,commun_incl,renovation_num,balcony_count,loggia_count,windows_view_num,union_bath_num,split_bath_num,pass_elev,gruz_elev,garbage_chute_num,with_children,with_pets,dishwasher,bathtub,refrigerator,phone,kitchen_furniture,furniture_in_rooms,internet,washing_machine,air_conditioner,tv,shower_cabin,street_house_encoded,price_log,price_log_scaled
206907598,37.0,2.78,1,0,0,0,9,1,0,19,18,21,3,2,32000.0,1.0,1.0,1.0,2,0,1,2,1,0,1,1,2,1,1,0,1,1,0,1,1,1,1,0,1,0,585,10.373522431293592,-0.9363155134597163
274501837,37.0,2.75,1,0,0,0,10,1,0,19,1,12,3,0,33000.0,1.0,1.0,0.0,2,1,0,1,1,0,1,1,2,1,1,0,0,1,1,1,1,1,1,0,1,0,847,10.404293143019792,-0.8920012722431125
211107520,44.4,2.7,1,0,0,0,10,1,0,19,7,19,2,0,33000.0,1.0,1.0,1.0,2,0,1,2,1,0,1,0,2,1,0,0,1,1,1,1,1,1,1,0,1,0,585,10.404293143019792,-0.8920012722431125
267979530,38.0,2.7,1,0,0,0,15,1,0,192,16,17,3,0,34000.0,1.0,1.0,0.0,2,1,0,2,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1,0,1388,10.434145214930487,-0.8490100042075562
274234460,37.0,2.7,1,0,0,0,6,0,1,192,3,17,3,0,35000.0,1.0,1.0,1.0,2,0,1,2,0,1,1,0,2,0,0,0,1,1,0,1,1,0,1,0,0,0,772,10.463131911491967,-0.807265000876866
262338778,35.0,2.64,1,0,0,0,9,1,0,254,13,14,7,0,35000.0,1.0,1.0,1.0,2,1,0,2,1,0,1,0,2,1,0,0,1,1,0,1,1,0,1,0,0,0,464,10.463131911491967,-0.807265000876866
274836558,32.0,2.64,1,0,0,0,16,1,0,192,4,9,0,2,35000.0,1.0,1.0,1.0,2,0,1,2,1,0,1,0,2,1,0,0,1,1,0,1,1,1,1,0,0,0,1373,10.463131911491967,-0.807265000876866
274916008,38.0,2.64,1,0,0,0,4,1,0,254,2,12,0,2,35000.0,1.0,1.0,1.0,2,1,0,2,1,0,1,0,2,1,1,0,1,1,0,1,1,1,1,0,0,0,464,10.463131911491967,-0.807265000876866
273450767,36.0,2.7,1,0,0,0,10,1,0,19,15,19,2,0,35000.0,1.0,1.0,1.0,2,0,1,1,1,0,1,0,2,1,0,0,0,1,0,1,1,0,1,0,0,0,585,10.463131911491967,-0.807265000876866
274453176,78.0,2.975,1,0,0,0,19,1,0,192,19,28,2,4,35000.0,1.0,1.0,1.0,1,0,2,2,1,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1623,10.463131911491967,-0.807265000876866
255489025,38.0,2.7,1,0,0,0,20,1,0,192,10,17,3,2,35000.0,1.0,1.0,1.0,2,1,0,2,1,0,1,1,2,1,0,0,1,1,0,1,1,1,1,0,1,0,1620,10.463131911491967,-0.807265000876866
273850573,44.2,2.64,2,1,0,0,4,1,0,254,4,9,3,0,37000.0,1.0,1.0,1.0,2,0,0,3,1,0,1,0,2,0,0,1,1,1,0,1,1,1,1,1,1,0,464,10.518700218288165,-0.7272386637132616
274404761,38.0,2.7,1,0,0,0,19,1,0,192,11,17,3,0,37000.0,1.0,1.0,1.0,3,0,1,2,1,0,1,0,2,1,0,1,0,1,0,1,1,1,1,0,1,1,1388,10.518700218288165,-0.7272386637132616
273993735,38.0,2.7,1,0,0,0,15,1,0,192,7,9,3,0,37000.0,1.0,1.0,1.0,3,1,0,2,0,1,1,0,2,1,1,0,1,1,0,1,1,1,1,0,1,0,1373,10.518700218288165,-0.7272386637132616
273796974,40.0,2.7,1,0,0,0,16,1,0,254,17,17,2,0,38000.0,1.0,1.0,1.0,2,0,1,2,1,0,1,0,2,0,0,0,0,1,0,1,1,0,1,0,0,0,464,10.545367754151743,-0.6888335846424134
272836380,46.0,2.64,2,1,0,0,15,1,0,19,3,9,0,0,38000.0,1.0,1.0,1.0,2,0,0,2,0,1,1,0,2,1,1,0,0,1,0,1,1,0,1,0,0,0,520,10.545367754151743,-0.6888335846424134
271948943,46.0,2.7,1,0,0,0,8,1,0,19,16,19,2,2,38000.0,1.0,1.0,1.0,2,0,1,2,1,0,1,1,2,1,0,0,1,1,0,1,1,1,1,0,1,0,585,10.545367754151743,-0.6888335846424134
274289683,55.1,3.0,2,1,0,0,2,1,0,254,12,17,3,0,38000.0,1.0,1.0,1.0,2,0,1,2,0,1,1,0,2,1,1,0,1,1,0,1,1,1,1,0,1,0,1300,10.545367754151743,-0.6888335846424134
252682160,45.0,2.64,2,1,0,0,3,0,1,192,5,9,3,0,39000.0,1.0,1.0,1.0,2,1,0,2,0,1,1,0,2,1,1,0,1,1,0,1,1,1,1,0,1,0,1620,10.571342565808699,-0.6514261278515411
275003663,40.0,2.7,1,0,0,0,12,1,0,254,7,17,2,0,40000.0,1.0,1.0,1.0,4,1,0,2,1,0,1,1,2,1,0,1,0,1,0,1,1,1,1,1,0,1,464,10.596659732783579,-0.6149657737905534
272427736,39.0,2.85,1,0,0,0,5,0,1,43,5,17,3,0,40000.0,1.0,1.0,0.0,3,1,0,2,0,1,1,1,2,0,0,0,0,1,1,1,1,1,1,1,1,0,1620,10.596659732783579,-0.6149657737905534
274619468,27.0,2.85,1,0,0,0,20,1,0,192,3,28,2,4,40000.0,1.0,1.0,0.0,3,1,0,2,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1623,10.596659732783579,-0.6149657737905534
273096235,50.0,2.64,2,0,0,0,18,1,0,192,6,9,3,0,40000.0,1.0,1.0,1.0,2,1,0,2,0,1,1,0,2,1,0,0,1,1,0,1,1,1,1,0,1,0,1620,10.596659732783579,-0.6149657737905534
274206268,50.0,2.64,2,0,0,0,15,1,0,192,8,14,7,2,40000.0,1.0,1.0,1.0,3,0,0,2,0,1,1,0,2,1,0,0,0,1,0,1,1,0,1,0,0,0,1620,10.596659732783579,-0.6149657737905534
271760756,64.0,2.64,2,1,0,0,20,1,0,254,2,17,2,0,41000.0,1.0,1.0,1.0,4,0,0,2,0,1,1,0,2,1,0,0,1,1,0,0,1,1,1,0,0,0,464,10.62135173563291,-0.5794057457963143
264150016,47.0,2.64,2,0,1,0,20,1,0,19,6,12,0,0,42000.0,1.0,1.0,1.0,2,0,1,2,0,1,1,0,2,1,1,0,1,1,0,1,1,1,1,0,1,0,847,10.645448706505872,-0.5447026492493238
258921632,44.0,2.64,2,0,0,0,3,0,1,192,6,9,0,0,42000.0,1.0,1.0,1.0,2,0,0,2,0,1,1,0,2,0,0,0,1,1,0,1,1,0,1,0,1,0,1620,10.645448706505872,-0.5447026492493238
274601921,38.0,2.7,1,0,0,0,3,0,1,192,8,14,5,2,42000.0,1.0,1.0,1.0,2,0,1,2,1,0,1,0,2,1,1,0,1,1,0,1,1,1,1,0,1,0,1620,10.645448706505872,-0.5447026492493238
274842332,68.0,2.7,2,1,0,0,7,1,0,19,9,19,2,0,42500.0,1.0,1.0,1.0,2,0,1,2,0,1,1,1,2,1,1,0,1,1,0,1,1,1,1,0,1,0,585,10.657282884047461,-0.5276597351027668
274898172,37.0,2.7,1,0,0,0,20,1,0,192,6,17,3,0,43000.0,1.0,1.0,1.0,3,1,0,2,1,0,1,0,2,1,0,0,1,1,0,1,1,0,1,0,1,0,1620,10.668978650219241,-0.5108161531940669
274982116,50.0,2.7,2,0,0,0,14,1,0,19,12,16,3,3,44000.0,1.0,0.0,1.0,2,0,1,1,0,1,1,1,2,1,1,0,0,1,0,1,1,0,1,0,1,1,847,10.691967639914864,-0.47770870856416464
272823932,15.0,2.7,1,0,0,0,19,1,0,19,1,4,0,3,44000.0,0.0,1.0,0.0,3,0,0,2,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,520,10.691967639914864,-0.47770870856416464
273524425,38.0,3.0,1,0,0,0,10,1,0,254,7,17,0,3,44000.0,0.0,1.0,0.0,2,0,1,2,1,0,1,0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,1300,10.691967639914864,-0.47770870856416464
272245879,35.0,2.64,1,0,0,0,15,1,0,19,9,9,0,2,45000.0,1.0,1.0,1.0,3,0,1,2,1,0,1,0,2,0,0,1,1,1,0,1,1,1,1,1,1,1,1373,10.714439990727769,-0.44534529807537615
